"","date","cause","source","location","substance","volume","year_quarter"
"328","8/27/2007","Equipment Failure","battery","MEDICINE HAT","oil",1,3
"329","2/6/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"330","6/18/2005","Operator Error","well","MEDICINE HAT","oil",1,2
"331","4/29/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"332","7/9/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"333","7/11/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"334","1/9/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"335","3/14/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"336","2/11/2007","Equipment Failure","well","MEDICINE HAT","oil",1,1
"337","12/1/2003","Equipment Failure","battery","MEDICINE HAT","gas",2,4
"338","1/1/2011","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"339","12/27/2003","Equipment Failure","pipeline","MEDICINE HAT","water",2,4
"340","5/28/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"341","6/29/2011","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"342","2/15/2009","Equipment Failure","battery","MEDICINE HAT","oil",1,1
"343","3/17/2003","Equipment Failure","well","MEDICINE HAT","water",2,1
"344","8/3/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"345","3/11/2004","Operator Error","well","MEDICINE HAT","water",1,1
"346","2/15/2012","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"347","4/23/2010","Equipment Failure","battery","MEDICINE HAT","oil",1,2
"348","5/29/2012","Equipment Failure","well","MEDICINE HAT","oil",1,2
"349","3/26/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"350","3/23/2010","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"351","3/15/2010","Equipment Failure","battery","MEDICINE HAT","oil",1,1
"352","2/19/2006","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"353","10/9/2011","Equipment Failure","well","MEDICINE HAT","oil",1,4
"354","2/11/2005","Equipment Failure","well","MIDNAPORE","oil",1,1
"355","9/26/2010","Equipment Failure","battery","MIDNAPORE","gas",2,3
"356","9/6/2008","Equipment Failure","pipeline","MIDNAPORE","water",1,3
"357","12/13/2011","Equipment Failure","pipeline","MIDNAPORE","oil",1,4
"358","2/4/2011","Equipment Failure","pipeline","MIDNAPORE","oil",1,1
